Site,Date,Color,Temp_C
Balzor,2021-12-10,Black,-0.399999989
Balzor,2021-12-10,White,-0.449999992
Balzor,2021-12-11,Black,-0.383333344
Balzor,2021-12-11,White,-0.524999992
Balzor,2021-12-12,Black,0.083333336
Balzor,2021-12-12,White,0.075000001
Balzor,2021-12-13,Black,1.783333364
Balzor,2021-12-13,White,1.137500029
Balzor,2021-12-14,Black,2.016666651
Balzor,2021-12-14,White,1.500000015
Balzor,2021-12-15,Black,1.033333341
Balzor,2021-12-15,White,0.92499999
Balzor,2021-12-16,Black,0.916666677
Balzor,2021-12-16,White,0.850000001
Balzor,2021-12-17,Black,0.833333343
Balzor,2021-12-17,White,0.700000002
Balzor,2021-12-18,Black,0.433333336
Balzor,2021-12-18,White,0.374999997
Balzor,2021-12-19,Black,0.366666677
Balzor,2021-12-19,White,0.362500011
Balzor,2021-12-20,Black,0.983333349
Balzor,2021-12-20,White,0.687500022
Balzor,2021-12-21,Black,0.683333326
Balzor,2021-12-21,White,0.300000006
Balzor,2021-12-22,Black,2.400000021
Balzor,2021-12-22,White,0.600000005
Balzor,2021-12-23,Black,1.916666687
Balzor,2021-12-23,White,0.975000024
Balzor,2021-12-24,Black,0.799999987
Balzor,2021-12-24,White,0.637500005
Balzor,2021-12-25,Black,0.233333337
Balzor,2021-12-25,White,0.312500004
Balzor,2021-12-26,Black,0.183333334
Balzor,2021-12-26,White,0.275000002
Balzor,2021-12-27,Black,-0.300000003
Balzor,2021-12-27,White,-0.187500005
Balzor,2021-12-28,Black,-0.999999989
Balzor,2021-12-28,White,-0.83750002
Balzor,2021-12-29,Black,-0.716666662
Balzor,2021-12-29,White,-0.787499994
Balzor,2021-12-30,Black,-0.916666655
Balzor,2021-12-30,White,-0.974999989
Balzor,2021-12-31,Black,-1.533333324
Balzor,2021-12-31,White,-1.662500036
Balzor,2022-01-01,Black,-3.162499979
Balzor,2022-01-01,White,-4.024999931
Balzor,2022-01-02,Black,-2.962499991
Balzor,2022-01-02,White,-3.800000027
Balzor,2022-01-03,Black,-1.949999988
Balzor,2022-01-03,White,-2.375
Balzor,2022-01-04,Black,-0.612499991
Balzor,2022-01-04,White,-0.812500005
Balzor,2022-01-05,Black,-0.062499999
Balzor,2022-01-05,White,-0.125000004
Balzor,2022-01-06,Black,0.275000008
Balzor,2022-01-06,White,0.312500005
Balzor,2022-01-07,Black,0.375000008
Balzor,2022-01-07,White,0.412500007
Balzor,2022-01-08,Black,0.225000004
Balzor,2022-01-08,White,-0.387499996
Balzor,2022-01-09,Black,-0.737499998
Balzor,2022-01-09,White,-1.775000007
Balzor,2022-01-10,Black,-1.487499985
Balzor,2022-01-10,White,-2.449999973
Balzor,2022-01-11,Black,-0.33749999
Balzor,2022-01-11,White,-1.162500001
Balzor,2022-01-12,Black,0.4875
Balzor,2022-01-12,White,-0.312499997
Balzor,2022-01-13,Black,1.062499997
Balzor,2022-01-13,White,0.15
Balzor,2022-01-14,Black,1.462500008
Balzor,2022-01-14,White,0.187500001
Balzor,2022-01-15,Black,0.599999998
Balzor,2022-01-15,White,-1.237499984
Balzor,2022-01-16,Black,-0.112499992
Balzor,2022-01-16,White,-1.99999999
Balzor,2022-01-17,Black,-0.262499999
Balzor,2022-01-17,White,-1.637500024
Balzor,2022-01-18,Black,-0.662500024
Balzor,2022-01-18,White,-2.062499967
Balzor,2022-01-19,Black,-0.012500018
Balzor,2022-01-19,White,-1.625000018
Balzor,2022-01-20,Black,0.312500007
Balzor,2022-01-20,White,-0.662499989
Balzor,2022-01-21,Black,0.624999996
Balzor,2022-01-21,White,-0.412499992
Balzor,2022-01-22,Black,0.462499961
Balzor,2022-01-22,White,-1.9875
Balzor,2022-01-23,Black,0.662500031
Balzor,2022-01-23,White,-1.837499976
Balzor,2022-01-24,Black,0.912499979
Balzor,2022-01-24,White,-1.649999999
Balzor,2022-01-25,Black,0.937500015
Balzor,2022-01-25,White,-2.512499991
Balzor,2022-01-26,Black,-0.737500004
Balzor,2022-01-26,White,-2.95000004
Balzor,2022-01-27,Black,-2.099999979
Balzor,2022-01-27,White,-4.037500031
Balzor,2022-01-28,Black,-2.01250004
Balzor,2022-01-28,White,-4.350000113
Balzor,2022-01-29,Black,-1.737500101
Balzor,2022-01-29,White,-4.975000009
Balzor,2022-01-30,Black,-1.287500083
Balzor,2022-01-30,White,-4.837499939
Balzor,2022-01-31,Black,0.974999987
Balzor,2022-01-31,White,-1.662499984
Balzor,2022-02-01,Black,-1.837499958
Balzor,2022-02-01,White,-3.962499991
Balzor,2022-02-02,Black,-2.062500056
Balzor,2022-02-02,White,-3.750000045
Balzor,2022-02-03,Black,-0.150000051
Balzor,2022-02-03,White,-2.187499932
Balzor,2022-02-04,Black,0.87500003
Balzor,2022-02-04,White,-2.487499954
Balzor,2022-02-05,Black,2.862499923
Balzor,2022-02-05,White,-1.724999991
Balzor,2022-02-06,Black,3.787500054
Balzor,2022-02-06,White,-1.937499972
Balzor,2022-02-07,Black,5.487500059
Balzor,2022-02-07,White,-0.924999978
Balzor,2022-02-08,Black,5.012499891
Balzor,2022-02-08,White,-0.474999979
Balzor,2022-02-09,Black,6.987499857
Balzor,2022-02-09,White,0.54999999
Balzor,2022-02-10,Black,6.949999926
Balzor,2022-02-10,White,1.637500016
Balzor,2022-02-11,Black,8.075000007
Balzor,2022-02-11,White,2.412499991
Balzor,2022-02-12,Black,6.97499988
Balzor,2022-02-12,White,1.42500003
Balzor,2022-02-13,Black,7.612500069
Balzor,2022-02-13,White,2.425000014
Balzor,2022-02-14,Black,7.912499979
Balzor,2022-02-14,White,4.087499958
Balzor,2022-02-15,Black,0.599999979
Balzor,2022-02-15,White,0.400000003
Balzor,2022-02-16,Black,0.312499981
Balzor,2022-02-16,White,0.212499999
Balzor,2022-02-17,Black,0.474999994
Balzor,2022-02-17,White,0.024999997
Balzor,2022-02-18,Black,5.462500073
Balzor,2022-02-18,White,0.662500001
Balzor,2022-02-19,Black,7.787499879
Balzor,2022-02-19,White,3.425000038
Balzor,2022-02-20,Black,2.787500083
Balzor,2022-02-20,White,1.250000012
Balzor,2022-02-21,Black,-0.224999994
Balzor,2022-02-21,White,-0.025000002
Balzor,2022-02-22,Black,-2.962500039
Balzor,2022-02-22,White,-2.362500029
Balzor,2022-02-23,Black,-3.199999988
Balzor,2022-02-23,White,-3.887499937
Balzor,2022-02-24,Black,-3.725000036
Balzor,2022-02-24,White,-4.599999957
Balzor,2022-02-25,Black,-1.699999988
Balzor,2022-02-25,White,-4
Balzor,2022-02-26,Black,1.974999964
Balzor,2022-02-26,White,-3.199999999
Balzor,2022-02-27,Black,4.862500042
Balzor,2022-02-27,White,0.062500075
Balzor,2022-02-28,Black,8.650000103
Balzor,2022-02-28,White,5.187499981
Balzor,2022-03-01,Black,11.63750008
Balzor,2022-03-01,White,8.224999949
Balzor,2022-03-02,Black,10.97499985
Balzor,2022-03-02,White,7.824999973
Balzor,2022-03-03,Black,11.84999993
Balzor,2022-03-03,White,8.512499958
Balzor,2022-03-04,Black,6.312500048
Balzor,2022-03-04,White,4.775000039
Balzor,2022-03-05,Black,4.337499976
Balzor,2022-03-05,White,3.050000027
Balzor,2022-03-06,Black,0.862499982
Balzor,2022-03-06,White,0.487499982
Balzor,2022-03-07,Black,4.600000024
Balzor,2022-03-07,White,2.300000101
Balzor,2022-03-08,Black,1.562500072
Balzor,2022-03-08,White,0.63749999
Balzor,2022-03-09,Black,0.362500012
Balzor,2022-03-09,White,-0.049999986
Balzor,2022-03-10,Black,-1.000000007
Balzor,2022-03-10,White,-0.749999985
Balzor,2022-03-11,Black,4.025000095
Balzor,2022-03-11,White,1.887500077
Balzor,2022-03-12,Black,9.99999986
Balzor,2022-03-12,White,7.674999813
Balzor,2022-03-13,Black,3.087499946
Balzor,2022-03-13,White,2.662500006
Balzor,2022-03-14,Black,7.162500015
Balzor,2022-03-14,White,5.975000091
Balzor,2022-03-15,Black,7.737499893
Balzor,2022-03-15,White,6.149999946
Balzor,2022-03-16,Black,6.162500009
Balzor,2022-03-16,White,4.47499992
Balzor,2022-03-17,Black,6.84999996
Balzor,2022-03-17,White,4.725000001
Balzor,2022-03-18,Black,8.062499955
Balzor,2022-03-18,White,5.949999914
Balzor,2022-03-19,Black,8.337500066
Balzor,2022-03-19,White,6.687500089
Balzor,2022-03-20,Black,5.599999964
Balzor,2022-03-20,White,3.625000037
Balzor,2022-03-21,Black,4.637500025
Balzor,2022-03-21,White,3.075000003
Balzor,2022-03-22,Black,9.762499958
Balzor,2022-03-22,White,7.15000011
Balzor,2022-03-23,Black,11.46250007
Balzor,2022-03-23,White,8.737499952
Balzor,2022-03-24,Black,12.6624999
Balzor,2022-03-24,White,9.387499839
Balzor,2022-03-25,Black,14.06249994
Balzor,2022-03-25,White,10.66249996
Balzor,2022-03-26,Black,15.40000015
Balzor,2022-03-26,White,11.63749999
Balzor,2022-03-27,Black,13.38750017
Balzor,2022-03-27,White,10.3125
Balzor,2022-03-28,Black,11.69999999
Balzor,2022-03-28,White,9.025000036
Balzor,2022-03-29,Black,10.54999989
Balzor,2022-03-29,White,8.199999899
Balzor,2022-03-30,Black,7.737499863
Balzor,2022-03-30,White,5.824999988
Balzor,2022-03-31,Black,9.537499711
Balzor,2022-03-31,White,6.375
Balzor,2022-04-01,Black,10.46250019
Balzor,2022-04-01,White,6.900000073
Balzor,2022-04-02,Black,12.84999985
Balzor,2022-04-02,White,8.912499934
Balzor,2022-04-03,Black,10.92499991
Balzor,2022-04-03,White,7.662499897
Balzor,2022-04-04,Black,8.962500095
Balzor,2022-04-04,White,6.949999899
Balzor,2022-04-05,Black,8.187499896
Balzor,2022-04-05,White,5.500000089
