Site,Date,Density,Color,VWC,Block
SheepStation,5/17/22,High,Black,16.4,1
SheepStation,5/17/22,High,White,18.1,1
SheepStation,5/17/22,Low,Black,16.3,1
SheepStation,5/17/22,Low,White,17.1,1
SheepStation,5/17/22,Low,White,15.65,2
SheepStation,5/17/22,Low,Black,14.55,2
SheepStation,5/17/22,High,Black,15.1,2
SheepStation,5/17/22,High,White,15.8,2
SheepStation,5/17/22,High,White,14.45,3
SheepStation,5/17/22,Low,White,16.05,3
SheepStation,5/17/22,High,Black,14.6,3
SheepStation,5/17/22,Low,Black,13.35,3
SheepStation,5/17/22,Low,White,13.2,4
SheepStation,5/17/22,High,White,12.75,4
SheepStation,5/17/22,High,Black,14.5,4
SheepStation,5/17/22,Low,Black,14.4,4
SheepStation,5/17/22,High,Black,13.3,5
SheepStation,5/17/22,Low,Black,16.8,5
SheepStation,5/17/22,High,White,12,5
SheepStation,5/17/22,Low,White,16.25,5
SheepStation,5/17/22,Low,White,15.5,6
SheepStation,5/17/22,Low,Black,13.45,6
SheepStation,5/17/22,High,White,14.55,6
SheepStation,5/17/22,High,Black,13.7,6
SheepStation,5/17/22,High,White,15.1,7
SheepStation,5/17/22,Low,White,14.6,7
SheepStation,5/17/22,High,Black,14.25,7
SheepStation,5/17/22,Low,Black,14.35,8
SheepStation,5/17/22,High,White,15.8,8
SheepStation,5/17/22,High,Black,13.75,8
SheepStation,5/17/22,Low,Black,12.45,8
SheepStation,5/17/22,Low,White,14.1,8
SheepStation,5/17/22,High,White,12.95,9
SheepStation,5/17/22,High,Black,13.5,9
SheepStation,5/17/22,Low,White,14.15,9
SheepStation,5/17/22,Low,Black,13.15,9
SheepStation,5/17/22,High,Black,13.1,10
SheepStation,5/17/22,Low,White,15.25,10
SheepStation,5/17/22,Low,Black,14.15,10
SheepStation,5/17/22,High,White,15.55,10
SheepStation,6/1/22,High,Black,24.55,1
SheepStation,6/1/22,High,White,22.35,1
SheepStation,6/1/22,Low,Black,23.05,1
SheepStation,6/1/22,Low,White,20.05,1
SheepStation,6/1/22,Low,White,21.85,2
SheepStation,6/1/22,Low,Black,24.95,2
SheepStation,6/1/22,High,Black,20.6,2
SheepStation,6/1/22,High,White,21.9,2
SheepStation,6/1/22,High,White,18.45,3
SheepStation,6/1/22,Low,White,21.8,3
SheepStation,6/1/22,High,Black,20.75,3
SheepStation,6/1/22,Low,Black,19.95,3
SheepStation,6/1/22,Low,White,21.15,4
SheepStation,6/1/22,High,White,20.5,4
SheepStation,6/1/22,High,Black,23.05,4
SheepStation,6/1/22,Low,Black,23.4,4
SheepStation,6/1/22,High,Black,19.3,5
SheepStation,6/1/22,Low,Black,21.15,5
SheepStation,6/1/22,High,White,25.85,5
SheepStation,6/1/22,Low,White,25.65,5
SheepStation,6/1/22,Low,White,23.7,6
SheepStation,6/1/22,Low,Black,20.15,6
SheepStation,6/1/22,High,White,21.35,6
SheepStation,6/1/22,High,Black,18.95,6
SheepStation,6/1/22,High,White,20.2,7
SheepStation,6/1/22,Low,White,21.25,7
SheepStation,6/1/22,High,Black,18.6,7
SheepStation,6/1/22,Low,Black,22.4,8
SheepStation,6/1/22,High,White,20.95,8
SheepStation,6/1/22,High,Black,18.95,8
SheepStation,6/1/22,Low,Black,17.15,8
SheepStation,6/1/22,Low,White,20.15,8
SheepStation,6/1/22,High,White,21.05,9
SheepStation,6/1/22,High,Black,18.85,9
SheepStation,6/1/22,Low,White,18.9,9
SheepStation,6/1/22,Low,Black,21.7,9
SheepStation,6/1/22,High,Black,18.25,10
SheepStation,6/1/22,Low,White,19.45,10
SheepStation,6/1/22,Low,Black,19.3,10
SheepStation,6/1/22,High,White,20.5,10
SheepStation,6/15/22,High,Black,23.3,1
SheepStation,6/15/22,High,White,25.55,1
SheepStation,6/15/22,Low,Black,21.75,1
SheepStation,6/15/22,Low,White,20,1
SheepStation,6/15/22,Low,White,21.35,2
SheepStation,6/15/22,Low,Black,21.1,2
SheepStation,6/15/22,High,Black,17.4,2
SheepStation,6/15/22,High,White,21.6,2
SheepStation,6/15/22,High,White,19.35,3
SheepStation,6/15/22,Low,White,23.75,3
SheepStation,6/15/22,High,Black,18.75,3
SheepStation,6/15/22,Low,Black,20.05,3
SheepStation,6/15/22,Low,White,21.75,4
SheepStation,6/15/22,High,White,21.2,4
SheepStation,6/15/22,High,Black,20.4,4
SheepStation,6/15/22,Low,Black,19.85,4
SheepStation,6/15/22,High,Black,20.85,5
SheepStation,6/15/22,Low,Black,19.1,5
SheepStation,6/15/22,High,White,24.3,5
SheepStation,6/15/22,Low,White,24.45,5
SheepStation,6/15/22,Low,White,21.25,6
SheepStation,6/15/22,Low,Black,21.65,6
SheepStation,6/15/22,High,White,23.05,6
SheepStation,6/15/22,High,Black,21.75,6
SheepStation,6/15/22,High,White,22.6,7
SheepStation,6/15/22,Low,White,22.6,7
SheepStation,6/15/22,High,Black,21.65,7
SheepStation,6/15/22,Low,Black,22.65,8
SheepStation,6/15/22,High,White,19.75,8
SheepStation,6/15/22,High,Black,19.85,8
SheepStation,6/15/22,Low,Black,18.8,8
SheepStation,6/15/22,Low,White,20.85,8
SheepStation,6/15/22,High,White,18.7,9
SheepStation,6/15/22,High,Black,19.8,9
SheepStation,6/15/22,Low,White,20.75,9
SheepStation,6/15/22,Low,Black,22.7,9
SheepStation,6/15/22,High,Black,20.4,10
SheepStation,6/15/22,Low,White,19.3,10
SheepStation,6/15/22,Low,Black,21.1,10
SheepStation,6/15/22,High,White,20.8,10
SheepStation,6/23/22,High,Black,16,1
SheepStation,6/23/22,High,White,15.6,1
SheepStation,6/23/22,Low,Black,12.7,1
SheepStation,6/23/22,Low,White,14.25,1
SheepStation,6/23/22,Low,White,14.3,2
SheepStation,6/23/22,Low,Black,13.4,2
SheepStation,6/23/22,High,Black,14.65,2
SheepStation,6/23/22,High,White,15,2
SheepStation,6/23/22,High,White,14.4,3
SheepStation,6/23/22,Low,White,13.9,3
SheepStation,6/23/22,High,Black,12.2,3
SheepStation,6/23/22,Low,Black,11.1,3
SheepStation,6/23/22,Low,White,13.4,4
SheepStation,6/23/22,High,White,13.3,4
SheepStation,6/23/22,High,Black,12.5,4
SheepStation,6/23/22,Low,Black,12.35,4
SheepStation,6/23/22,High,Black,14.6,5
SheepStation,6/23/22,Low,Black,11.65,5
SheepStation,6/23/22,High,White,16.15,5
SheepStation,6/23/22,Low,White,12.15,5
SheepStation,6/23/22,Low,White,14.3,6
SheepStation,6/23/22,Low,Black,14.35,6
SheepStation,6/23/22,High,White,15.75,6
SheepStation,6/23/22,High,Black,12.75,6
SheepStation,6/23/22,High,White,12.65,7
SheepStation,6/23/22,Low,White,13.1,7
SheepStation,6/23/22,High,Black,12.15,7
SheepStation,6/23/22,Low,Black,14.25,8
SheepStation,6/23/22,High,White,13.55,8
SheepStation,6/23/22,High,Black,12.7,8
SheepStation,6/23/22,Low,Black,13.2,8
SheepStation,6/23/22,Low,White,14.4,8
SheepStation,6/23/22,High,White,14.4,9
SheepStation,6/23/22,High,Black,13.7,9
SheepStation,6/23/22,Low,White,15.65,9
SheepStation,6/23/22,Low,Black,11.7,9
SheepStation,6/23/22,High,Black,10.65,10
SheepStation,6/23/22,Low,White,13.6,10
SheepStation,6/23/22,Low,Black,13.5,10
SheepStation,6/23/22,High,White,15.15,10
Balzor,4/6/22,High,Black,13.7,1
Balzor,4/6/22,Low,Black,14.7,1
Balzor,4/6/22,High,White,16.6,1
Balzor,4/6/22,Low,White,14.8,1
Balzor,4/6/22,High,Black,NA,2
Balzor,4/6/22,Low,Black,NA,2
Balzor,4/6/22,High,White,NA,2
Balzor,4/6/22,Low,White,NA,2
Balzor,4/6/22,High,Black,NA,3
Balzor,4/6/22,Low,Black,NA,3
Balzor,4/6/22,High,White,NA,3
Balzor,4/6/22,Low,White,NA,3
Balzor,4/6/22,High,Black,15.2,4
Balzor,4/6/22,Low,Black,14.6,4
Balzor,4/6/22,High,White,16.8,4
Balzor,4/6/22,Low,White,17.8,4
Balzor,4/6/22,High,Black,NA,5
Balzor,4/6/22,Low,Black,NA,5
Balzor,4/6/22,High,White,NA,5
Balzor,4/6/22,Low,White,NA,5
Balzor,4/6/22,High,Black,NA,6
Balzor,4/6/22,Low,Black,NA,6
Balzor,4/6/22,High,White,NA,6
Balzor,4/6/22,Low,White,NA,6
Balzor,4/6/22,High,Black,17,7
Balzor,4/6/22,Low,Black,12.8,7
Balzor,4/6/22,High,White,18.2,7
Balzor,4/6/22,Low,White,12.9,7
Balzor,4/6/22,High,Black,NA,8
Balzor,4/6/22,Low,Black,NA,8
Balzor,4/6/22,High,White,NA,8
Balzor,4/6/22,Low,White,NA,8
Balzor,4/6/22,High,Black,NA,9
Balzor,4/6/22,Low,Black,NA,9
Balzor,4/6/22,High,White,NA,9
Balzor,4/6/22,Low,White,NA,9
Balzor,4/6/22,High,Black,15.6,10
Balzor,4/6/22,Low,Black,11.6,10
Balzor,4/6/22,High,White,19.8,10
Balzor,4/6/22,Low,White,14.3,10
Balzor,5/24/22,High,Black,9.1,1
Balzor,5/24/22,Low,Black,8.7,1
Balzor,5/24/22,High,White,12,1
Balzor,5/24/22,Low,White,6.2,1
Balzor,5/24/22,High,Black,NA,2
Balzor,5/24/22,Low,Black,NA,2
Balzor,5/24/22,High,White,NA,2
Balzor,5/24/22,Low,White,NA,2
Balzor,5/24/22,High,Black,NA,3
Balzor,5/24/22,Low,Black,NA,3
Balzor,5/24/22,High,White,NA,3
Balzor,5/24/22,Low,White,NA,3
Balzor,5/24/22,High,Black,12.7,4
Balzor,5/24/22,Low,Black,7.3,4
Balzor,5/24/22,High,White,14,4
Balzor,5/24/22,Low,White,12.3,4
Balzor,5/24/22,High,Black,NA,5
Balzor,5/24/22,Low,Black,NA,5
Balzor,5/24/22,High,White,NA,5
Balzor,5/24/22,Low,White,NA,5
Balzor,5/24/22,High,Black,10,6
Balzor,5/24/22,Low,Black,6.5,6
Balzor,5/24/22,High,White,8.4,6
Balzor,5/24/22,Low,White,12.7,6
Balzor,5/24/22,High,Black,4.5,7
Balzor,5/24/22,Low,Black,8.4,7
Balzor,5/24/22,High,White,13.8,7
Balzor,5/24/22,Low,White,11.1,7
Balzor,5/24/22,High,Black,NA,8
Balzor,5/24/22,Low,Black,NA,8
Balzor,5/24/22,High,White,NA,8
Balzor,5/24/22,Low,White,NA,8
Balzor,5/24/22,High,Black,NA,9
Balzor,5/24/22,Low,Black,NA,9
Balzor,5/24/22,High,White,NA,9
Balzor,5/24/22,Low,White,NA,9
Balzor,5/24/22,High,Black,11.8,10
Balzor,5/24/22,Low,Black,7.6,10
Balzor,5/24/22,High,White,12.6,10
Balzor,5/24/22,Low,White,9.6,10
Wildcat,3/7/22,High,Black,13,1
Wildcat,3/7/22,Low,Black,10.3,1
