Site,Date,Block,Color,Density,SoilT_1cm
Balzor,4/6/22,1,Black,High,18.2
Balzor,4/6/22,1,Black,Low,17.7
Balzor,4/6/22,1,White,High,12.6
Balzor,4/6/22,1,White,Low,11.2
Balzor,4/6/22,2,Black,High,NA
Balzor,4/6/22,2,Black,Low,NA
Balzor,4/6/22,2,White,High,NA
Balzor,4/6/22,2,White,Low,NA
Balzor,4/6/22,3,Black,High,NA
Balzor,4/6/22,3,Black,Low,NA
Balzor,4/6/22,3,White,High,NA
Balzor,4/6/22,3,White,Low,NA
Balzor,4/6/22,4,Black,High,20.2
Balzor,4/6/22,4,Black,Low,18.8
Balzor,4/6/22,4,White,High,11.6
Balzor,4/6/22,4,White,Low,11.6
Balzor,4/6/22,5,Black,High,NA
Balzor,4/6/22,5,Black,Low,NA
Balzor,4/6/22,5,White,High,NA
Balzor,4/6/22,5,White,Low,NA
Balzor,4/6/22,6,Black,High,23.6
Balzor,4/6/22,6,Black,Low,19.3
Balzor,4/6/22,6,White,High,11.4
Balzor,4/6/22,6,White,Low,17.6
Balzor,4/6/22,7,Black,High,19.4
Balzor,4/6/22,7,Black,Low,19.4
Balzor,4/6/22,7,White,High,13.7
Balzor,4/6/22,7,White,Low,11.1
Balzor,4/6/22,8,Black,High,NA
Balzor,4/6/22,8,Black,Low,NA
Balzor,4/6/22,8,White,High,NA
Balzor,4/6/22,8,White,Low,NA
Balzor,4/6/22,9,Black,High,NA
Balzor,4/6/22,9,Black,Low,NA
Balzor,4/6/22,9,White,High,NA
Balzor,4/6/22,9,White,Low,NA
Balzor,4/6/22,10,Black,High,23.2
Balzor,4/6/22,10,Black,Low,23.1
Balzor,4/6/22,10,White,High,9.6
Balzor,4/6/22,10,White,Low,13.9
Balzor,5/24/22,1,Black,High,25.9
Balzor,5/24/22,1,Black,Low,28.7
Balzor,5/24/22,1,White,High,22.2
Balzor,5/24/22,1,White,Low,23.6
Balzor,5/24/22,2,Black,High,28.6
Balzor,5/24/22,2,Black,Low,25.2
Balzor,5/24/22,2,White,High,20.9
Balzor,5/24/22,2,White,Low,23
Balzor,5/24/22,3,Black,High,29.7
Balzor,5/24/22,3,Black,Low,27.8
Balzor,5/24/22,3,White,High,25.1
Balzor,5/24/22,3,White,Low,23.8
Balzor,5/24/22,4,Black,High,28.5
Balzor,5/24/22,4,Black,Low,29.7
Balzor,5/24/22,4,White,High,25.8
Balzor,5/24/22,4,White,Low,23.9
Balzor,5/24/22,5,Black,High,33
Balzor,5/24/22,5,Black,Low,31.6
Balzor,5/24/22,5,White,High,28.4
Balzor,5/24/22,5,White,Low,26.2
Balzor,5/24/22,6,Black,High,34.7
Balzor,5/24/22,6,Black,Low,34.4
Balzor,5/24/22,6,White,High,27.5
Balzor,5/24/22,6,White,Low,25.3
Balzor,5/24/22,7,Black,High,34.7
Balzor,5/24/22,7,Black,Low,36.2
Balzor,5/24/22,7,White,High,26.1
Balzor,5/24/22,7,White,Low,26.9
Balzor,5/24/22,8,Black,High,28.8
Balzor,5/24/22,8,Black,Low,31.3
Balzor,5/24/22,8,White,High,26.8
Balzor,5/24/22,8,White,Low,26.2
Balzor,5/24/22,9,Black,High,35.6
Balzor,5/24/22,9,Black,Low,34.2
Balzor,5/24/22,9,White,High,26.8
Balzor,5/24/22,9,White,Low,28
Balzor,5/24/22,10,Black,High,34.3
Balzor,5/24/22,10,Black,Low,34.1
Balzor,5/24/22,10,White,High,25.3
Balzor,5/24/22,10,White,Low,29.1
Wildcat,3/7/22,1,Black,High,8.2
Wildcat,3/7/22,1,Black,Low,8.3
Wildcat,3/7/22,1,White,High,4
Wildcat,3/7/22,1,White,Low,6.3
Wildcat,3/7/22,2,Black,High,16.9
Wildcat,3/7/22,2,Black,Low,17.7
Wildcat,3/7/22,2,White,High,15.5
Wildcat,3/7/22,2,White,Low,12.1
Wildcat,3/7/22,3,Black,High,16.5
