lat,lon,site_code,tmean_mean
34.06,-116.22,Shriver01,12.678255134158665
35.23,-111.62,Bradford01,4.935455375247532
35.3984,-115.7845,Lee2,12.675777594248453
35.4564,-115.52,Lee4,11.521077632904053
36.5247,-115.8987,Lee3,12.543410884009468
36.82340833,-116.0163889,Lee1,13.14645528793335
38.47,-119.49,Fleishman_01,3.9000553819868298
38.52,-113.55,Schupp04,6.1451665427949695
38.52,-109.47,Reed01,8.812088674969143
38.6,-113.79,Schupp03,6.844010929266612
38.6701,-108.3286,Hufft1,6.8528663582272
38.75,-109.79,Reed03,8.792399830288357
38.84,-117.57,Board1,4.974833223554823
39.11,-112.74,Schupp05,7.23921083079444
39.12,-117.27,Fleishman_05,3.7481888002819486
39.17,-117.44,Fleishman_07,2.823899918132358
39.49,-119.84,Leger 1,7.844133098920186
39.547444,-105.102111,Hufft2,7.144922082622846
39.55,-119.58,Chambers01,7.86324421564738
39.76604,-109.5635,Chynoweth01,6.459155427085029
39.83576,-109.61202,Chynoweth03,6.5808109574847755
39.85,-112.15,Schupp01,6.023333152135213
39.95,-118.76,Chambers02,7.695788564781348
40.2,-112.46,Schupp02,5.95495539241367
40.29092,-109.68361,Chynoweth02,6.38975531525082
40.35,-119.34,Urza1,7.549466629823049
40.43,-120.67,Getts3,6.232733018696308
40.480805,-109.438229,Chynoweth05,5.94071094195048
40.533605,-109.523564,Chynoweth07,5.745699842770894
40.559085,-105.144169,Hufbauer01,6.248822132746379
40.63,-105.27,Porensky30,5.426110956403944
40.64,-104.56,Blumenthal08,6.136310895284017
40.640878,-109.48689,Chynoweth08,4.625377615292867
40.66,-116.73,Chambers09,6.953433248731825
40.79,-111.87,Adler05,7.245899849467808
40.84,-119.56,Urza2,6.4705443779627485
40.86,-114.22,Adler18,6.549055225319332
40.92,-102.52,Blumenthal10,6.85725540584988
41.17,-120.5,Getts1,5.128066612614526
41.18,-104.9,Blumenthal01,4.8754999372694225
41.31,-117.63,Chambers04,6.593655467033386
41.31,-105.66,Wilcox02,3.644799842602677
41.44,-111.08,Adler13,3.6346443494160967
41.44,-110.11,Adler17,4.045088671975666
41.54,-117.78,Chambers06,6.359088699022929
41.54,-117.75,Chambers05,6.294099887212117
41.6,-120.2,Urza3,4.416399916013082
41.61,-111.57,Holdrege1,4.0443664987881975
41.71,-120.28,Getts4,2.8844777411884732
41.78,-110.2,Adler16,3.5424220826890735
41.81,-111.25,Adler14,3.3410665459103055
41.83,-103.71,Symstad6,6.320333162943522
42.24,-114.57,Chambers08,5.409355401992798
42.27,-118.71,Copeland05,6.304666426446703
42.68,-118.68,Davies03,3.0486221644613476
42.72,-120.08,Baughman5,4.608288783166143
42.77,-118.74,Copeland10,3.848833190070258
42.81,-118.96,Baughman3,5.578266435199314
42.9,-107.71,Eshleman1,4.650499885280927
43.05,-118.87,Baughman2,5.3356777065330085
43.24,-105.18,Porensky1,5.159466518296136
43.31,-112.27,Adler09,5.212311002943251
43.34,-105.13,Porensky17,5.163466493288676
43.47,-119.68,Copeland09,4.6225665542814465
43.4720833,-116.2338306,Germino BOP 01,7.358611000908746
43.48,-110.74,Barnett01,3.1429332097371416
43.55,-105.1,Porensky12,4.969022088580662
43.62,-103.47,Symstad3,5.295933220121595
43.65,-102.97,JackieOtt1,6.016921970579359
43.7,-117.33,Copeland01,6.420133153597514
43.71,-102.58,Symstad4,5.929766416549683
43.71,-102.32,JackieOtt2,6.079033189349705
43.78,-102.61,JackieOtt5,5.901055415471395
43.82,-101.94,JackieOtt7,6.212333069907294
43.84,-101.94,JackieOtt6,6.212333069907294
43.87,-103.46,Symstad2,4.635199798478021
43.94,-116.19,Chambers07,6.547066635555691
44.59,-104.71,Symstad1,4.746777762969335
44.60203143,-120.1941407,Pyke1,7.090777516365051
44.60456358,-120.1924183,Pyke3,7.504011061456469
44.68,-109.07,Lavin01,3.584388746155633
45.67,-111.03,Lavin02,4.396466549899843
45.9663,-120.3671,Downs03,5.244788739416334
46.19,-105.49,Rinella01,5.17761093378067
46.25045,-119.53334,Downs02,7.382955308175749
46.38145,-119.430272,Downs01,8.666522079043919
46.64,-113.23,Maron2,3.6896888547473483
46.68,-114.03,Maron1,5.170699887805515
46.74830998,-119.361636,Pyke8,7.70623320630855
46.74833678,-119.3603411,Pyke9,7.70623320630855
46.74869655,-119.3533784,Pyke15,7.3804886606004505
46.74878715,-119.3672737,Pyke10,7.70623320630855
46.74939669,-119.3482241,Pyke16,7.3804886606004505
46.74994569,-119.3504083,Pyke17,7.3804886606004505
46.749974,-119.3673257,Pyke12,7.70623320630855
46.75087139,-119.3487202,Pyke19,7.3804886606004505
47.61803776,-119.6830115,Pyke21,6.051744302113851
